,Unnamed: 0,Unnamed: 0.1,date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,phase3plus_perc,rainfall,ndvi_score,Price of water,Total alarms,n_conflict_total,Average of centy,Average of centx,prevalence_6lag,next_prevalence,month,increase,increase_numeric,district_encoded,Cowpea,Maize,Sorghum,crop,Sorghum_imputed
0,0,0,2017-07-01,Adan Yabaal,65262.95999999999,13052.591999999999,4819.0169664,3733.041312,1085.9756544000004,0.3692,0.0832,0.18,19.156666666666666,0.215,15.0,2.1666666666666665,,3.549436,46.54467,,0.3510000000000001,7,False,-0.0181999999999998,0,0.0,469.81565696440146,286.19730167300094,252.00431954580077,286.19730167300094
1,1,1,2017-07-01,Luuq,100476.765,20095.353000000006,8673.154354799999,7366.956409800001,1306.1979450000003,0.4315999999999998,0.065,0.21,24.24,0.1933333333333333,15.0,7.833333333333332,1.5,3.792931,42.6976,,0.3926,7,False,-0.0389999999999998,59,14.0,750.0,30.0,264.6666666666667,282.5063098553947
2,2,2,2017-07-01,Buur Hakaba,165968.46,33193.692,11909.896689600002,8198.841924000002,3711.0547655999994,0.3588,0.1117999999999999,0.35,34.945,0.3483333333333333,52.5,6.166666666666668,4.666666666666667,2.485374,44.006879999999995,,0.2886,7,False,-0.0701999999999999,24,218.0,30.0,1.9,83.3,275.7946371842451
3,3,3,2017-07-01,Marka,282222.765,56444.55299999999,20839.328967599995,16143.142157999995,4696.1868096,0.3692,0.0832,0.17,23.565,0.2983333333333333,36.5,11.833333333333336,11.833333333333336,1.7401529999999998,44.71787,,0.35100000000000003,7,False,-0.0181999999999999,60,330.0,6.75,253.09515610315577,196.61505203438526,253.09515610315577
4,4,4,2017-07-01,Buuhoodle,71317.70999999999,14263.542,4858.162405200002,3652.893106200001,1205.269299,0.3406000000000001,0.0845,0.37,19.540000000000006,0.2133333333333333,,2.333333333333333,2.5,8.460162,46.66129,,0.2027999999999999,7,False,-0.1378000000000002,23,0.0,201.742820780258,279.27191024947143,160.33824367657647,279.27191024947143
5,5,5,2017-07-01,Owdweyne,78004.845,15600.969,5313.6900414,3995.4081608999995,1318.2818805000004,0.3406,0.0845,0.46,16.686666666666667,0.165,,1.6666666666666667,2.0,9.257388,45.01097000000001,,0.2028,7,False,-0.1378,61,0.0,165.44324301372046,180.0,115.14774767124015,274.3706976831779
6,6,6,2017-07-01,Qandala,75823.06499999999,15164.612999999998,6150.767032799999,5125.6391939999985,1025.1278387999996,0.4055999999999999,0.0675999999999999,0.38,11.034999999999998,0.1633333333333333,,1.6666666666666667,3.333333333333333,11.060160000000002,50.08869000000001,,0.3431999999999999,7,False,-0.0624,62,0.0,317.3049507045709,279.6960144940288,199.00032173286658,279.6960144940288
7,7,7,2017-07-01,Burco,560644.8949999999,112128.979,37668.71744740001,28428.234721900004,9240.4827255,0.3359409653359994,0.0824094075225638,0.23,18.7,0.185,6.5166666666666675,7.666666666666668,4.25,9.141337,45.75868,,0.2028,7,False,-0.1331409653359993,21,84.33181321930383,135.25767565420747,50.0,89.8631629578371,193.9667145976523
8,8,8,2017-07-01,Qansax Dheere,123818.085,24763.617000000002,8885.1857796,6116.613399,2768.5723805999996,0.3588,0.1117999999999999,0.42,35.505,0.2916666666666667,21.5,9.833333333333334,2.0,2.81513,42.840109999999996,,0.2886,7,False,-0.0701999999999999,63,244.0,600.0,2.175,282.05833333333334,280.72779610641913
9,9,9,2017-07-01,Bulo Burto,181435.5,36287.1,15567.165900000002,12548.079179999999,3019.08672,0.429,0.0832,0.38,17.058333333333334,0.245,30.0,6.166666666666668,2.4,3.900063,45.53233,,0.3926,7,False,-0.0363999999999999,20,0.0,225.0,700.0,308.3333333333333,278.8089214522483
10,10,10,2017-07-01,Qardho,185616.89,37123.378,15267.6070768,12724.851204000002,2542.7558728,0.4112666438059597,0.0684947332325199,0.04,16.371666666666666,0.1316666666666666,,1.6666666666666667,1.0,9.502092,49.50764999999999,,0.3432,7,False,-0.0680666438059596,64,0.0,74.07838175012162,273.7640983132893,115.9474933544703,273.7640983132893
11,11,11,2017-07-01,Bu'aale,93543.3,18708.66,8074.657656,6858.594756,1216.0629,0.4316,0.0649999999999999,0.07,61.24333333333333,0.4783333333333333,30.0,5.666666666666668,1.5,1.197985,42.7408,,0.3925999999999999,7,False,-0.039,19,400.0,2.1,1.12,134.40666666666667,285.78274093205374
12,12,12,2017-07-01,Qoryooley,196309.485,39261.897000000004,14495.492372399995,11228.902541999994,3266.5898304,0.3691999999999998,0.0832,0.12,27.45833333333333,0.3533333333333333,28.16666666666667,8.0,5.666666666666668,1.934555,44.44943,,0.35100000000000003,7,False,-0.0181999999999998,65,165.0,380.76,200.0,248.58666666666667,283.3373322011925
