,Unnamed: 0.1,Unnamed: 0,date,district,Average of centy,Average of centx
0,0,0,2016-02-01,Adan Yabaal,3.549436,46.54467
1,1,1,2016-03-01,Adan Yabaal,3.549436,46.54467
2,2,2,2016-04-01,Adan Yabaal,3.549436,46.54467
3,3,3,2016-05-01,Adan Yabaal,3.549436,46.54467
4,4,4,2016-06-01,Adan Yabaal,3.549436,46.54467
5,5,5,2016-07-01,Adan Yabaal,3.549436,46.54467
6,6,6,2016-08-01,Adan Yabaal,3.549436,46.54467
7,7,7,2016-09-01,Adan Yabaal,3.549436,46.54467
8,8,8,2016-10-01,Adan Yabaal,3.549436,46.54467
9,9,9,2016-11-01,Adan Yabaal,3.549436,46.54467
10,10,10,2016-12-01,Adan Yabaal,3.549436,46.54467
11,11,11,2017-01-01,Adan Yabaal,3.549436,46.54467
12,12,12,2017-02-01,Adan Yabaal,3.549436,46.54467
13,13,13,2017-03-01,Adan Yabaal,3.549436,46.54467
14,14,14,2017-04-01,Adan Yabaal,3.549436,46.54467
15,15,15,2017-05-01,Adan Yabaal,3.549436,46.54467
16,16,16,2017-06-01,Adan Yabaal,3.549436,46.54467
17,17,17,2017-07-01,Adan Yabaal,3.549436,46.54467
18,18,18,2017-08-01,Adan Yabaal,3.549436,46.54467
19,19,19,2017-09-01,Adan Yabaal,3.549436,46.54467
20,20,20,2017-10-01,Adan Yabaal,3.549436,46.54467
21,21,21,2017-11-01,Adan Yabaal,3.549436,46.54467
22,22,22,2017-12-01,Adan Yabaal,3.549436,46.54467
23,23,23,2018-01-01,Adan Yabaal,3.549436,46.54467
24,24,24,2018-02-01,Adan Yabaal,3.549436,46.54467
25,25,25,2018-03-01,Adan Yabaal,3.549436,46.54467
26,26,26,2018-04-01,Adan Yabaal,3.549436,46.54467
27,27,27,2018-05-01,Adan Yabaal,3.549436,46.54467
28,28,28,2018-06-01,Adan Yabaal,3.549436,46.54467
29,29,29,2018-07-01,Adan Yabaal,3.549436,46.54467
30,30,30,2018-08-01,Adan Yabaal,3.549436,46.54467
