,date,Unnamed: 0,district,level1_name,population_analysed,area_phase,phase1_n,phase1_perc,phase2_n,phase2_perc,phase3_n,phase3_perc,phase4_n,phase4_perc,phase5_n,phase5_perc,phase3plus_n,phase3plus_perc,proj_population_analyzed,proj_area_phase,proj_analysis_period,proj_phase1_n,proj_phase1_perc,proj_phase2_n,proj_phase2_perc,proj_phase3_n,proj_phase3_perc,proj_phase4_n,proj_phase4_perc,proj_phase5_n,proj_phase5_perc,proj_phase3plus_n,proj_phase3plus_perc
0,2017-01-01,602,Baidoa,Bay,315679,3,176780,0.56,63136,0.2,75763.0,0.24,,,,,76600,0.24,315679,3,Feb 2017 - Jun 2017,119958,0.38,72606,0.23,63136.0,0.2,59979.0,0.19,,,124100,0.39
1,2017-02-01,602,Baidoa,Bay,315679,3,176780,0.56,63136,0.2,75763.0,0.24,,,,,76600,0.24,315679,3,Feb 2017 - Jun 2017,119958,0.38,72606,0.23,63136.0,0.2,59979.0,0.19,,,124100,0.39
2,2017-03-01,602,Baidoa,Bay,315679,3,176780,0.56,63136,0.2,75763.0,0.24,,,,,76600,0.24,315679,3,Feb 2017 - Jun 2017,119958,0.38,72606,0.23,63136.0,0.2,59979.0,0.19,,,124100,0.39
3,2017-04-01,602,Baidoa,Bay,315679,3,176780,0.56,63136,0.2,75763.0,0.24,,,,,76600,0.24,315679,3,Feb 2017 - Jun 2017,119958,0.38,72606,0.23,63136.0,0.2,59979.0,0.19,,,124100,0.39
4,2017-05-01,602,Baidoa,Bay,315679,3,176780,0.56,63136,0.2,75763.0,0.24,,,,,76600,0.24,315679,3,Feb 2017 - Jun 2017,119958,0.38,72606,0.23,63136.0,0.2,59979.0,0.19,,,124100,0.39
5,2017-06-01,602,Baidoa,Bay,315679,3,176780,0.56,63136,0.2,75763.0,0.24,,,,,76600,0.24,315679,3,Feb 2017 - Jun 2017,119958,0.38,72606,0.23,63136.0,0.2,59979.0,0.19,,,124100,0.39
6,2017-07-01,529,Baidoa,Bay,315679,3,151526,0.48,37881,0.12,75763.0,0.24,47352.0,0.15,0.0,0.0,124100,0.39,449969,3,Aug 2017 - Dec 2017,166489,0.37,188987,0.42,89994.0,0.2,0.0,0.0,0.0,0.0,89993,0.2
7,2017-08-01,529,Baidoa,Bay,315679,3,151526,0.48,37881,0.12,75763.0,0.24,47352.0,0.15,0.0,0.0,124100,0.39,449969,3,Aug 2017 - Dec 2017,166489,0.37,188987,0.42,89994.0,0.2,0.0,0.0,0.0,0.0,89993,0.2
8,2017-09-01,529,Baidoa,Bay,315679,3,151526,0.48,37881,0.12,75763.0,0.24,47352.0,0.15,0.0,0.0,124100,0.39,449969,3,Aug 2017 - Dec 2017,166489,0.37,188987,0.42,89994.0,0.2,0.0,0.0,0.0,0.0,89993,0.2
9,2017-10-01,529,Baidoa,Bay,315679,3,151526,0.48,37881,0.12,75763.0,0.24,47352.0,0.15,0.0,0.0,124100,0.39,449969,3,Aug 2017 - Dec 2017,166489,0.37,188987,0.42,89994.0,0.2,0.0,0.0,0.0,0.0,89993,0.2
10,2017-11-01,529,Baidoa,Bay,315679,3,151526,0.48,37881,0.12,75763.0,0.24,47352.0,0.15,0.0,0.0,124100,0.39,449969,3,Aug 2017 - Dec 2017,166489,0.37,188987,0.42,89994.0,0.2,0.0,0.0,0.0,0.0,89993,0.2
11,2017-12-01,529,Baidoa,Bay,315679,3,151526,0.48,37881,0.12,75763.0,0.24,47352.0,0.15,0.0,0.0,124100,0.39,449969,3,Aug 2017 - Dec 2017,166489,0.37,188987,0.42,89994.0,0.2,0.0,0.0,0.0,0.0,89993,0.2
12,2018-01-01,456,Baidoa,Bay,315679,2,227289,0.72,69449,0.22,18941.0,0.06,0.0,0.0,0.0,0.0,20400,0.06,315679,3,Feb 2018 - Jun 2018,176780,0.56,63136,0.2,75763.0,0.24,0.0,0.0,0.0,0.0,76600,0.24
