,date,district,prevalence,next_prevalence,prevalence_6lag,ndvi,ipc,population,month,district_encoded,increase
445,2018-01-01,Qansax Dheere,0.2886,0.2886,0.3588,0.15,0.09,123818.085,1,63,True
446,2018-01-01,Jilib,0.3925999999999999,0.3925999999999999,0.4316000000000001,0.22,0.09,103739.085,1,51,True
447,2018-01-01,Wanla Weyn,0.351,0.351,0.3692,0.14,0.0,227667.915,1,74,True
448,2018-01-01,Qoryooley,0.351,0.351,0.3691999999999998,0.2,0.09,196309.485,1,65,True
449,2018-01-01,Xudur,0.4862,0.4862,0.4862,0.11,0.14,113853.105,1,77,True
450,2018-01-01,Galdogob,0.4004,0.4004,0.4732,0.18,0.12,85807.70999999999,1,41,True
451,2018-01-01,Ceel Dheer,0.4211999999999999,0.4211999999999999,0.52,0.2,0.19,130366.52999999998,1,33,True
452,2018-01-01,Laas Caanood,0.2911999999999999,0.2911999999999999,0.442,0.07,0.26,170114.66999999998,1,55,True
453,2018-01-01,Jamaame,0.3926,0.3926,0.4316000000000001,0.18,0.25,169536.10499999998,1,49,True
454,2018-01-01,Gebiley,0.1975999999999999,0.1975999999999999,0.338,0.17,0.13,146038.5,1,44,True
455,2018-01-01,Zeylac,0.1689999999999999,0.1689999999999999,0.3796,0.05,0.57,64412.19,1,78,True
456,2018-01-01,Ceel Buur,0.4212,0.4212,0.52,0.21,0.14,141229.88999999998,1,32,True
457,2018-01-01,Burtinle,0.3795999999999999,0.3795999999999999,0.4524000000000001,0.17,0.08,112734.27,1,22,True
458,2018-01-01,Owdweyne,0.2028,0.2028,0.3406,0.08,0.3,78004.845,1,61,True
459,2018-01-01,Badhaadhe,0.3926,0.3926,0.4316000000000001,0.43,0.09,50723.28,1,4,True
461,2018-01-01,Sheikh,0.2028,0.2028,0.3406,0.1,0.07,62404.28999999999,1,70,True
462,2018-01-01,Adan Yabaal,0.3510000000000001,0.3510000000000001,0.3692,0.22,0.0,65262.95999999999,1,0,True
464,2018-01-01,Belet Weyne,0.3926,0.3926,0.429,0.2,0.24,281126.69999999995,1,13,True
465,2018-01-01,Doolow,0.3926,0.3926,0.4356257436740676,0.19,0.0,42455.7,1,38,True
466,2018-01-01,Garbahaarey,0.3925999999999999,0.3925999999999999,0.4316,0.22,0.0,91374.975,1,42,True
467,2018-01-01,Jariiban,0.4004,0.4004,0.4731999999999999,0.07,0.2,83205.71999999999,1,50,True
