,date,district,prevalence,next_prevalence,prevalence_6lag,ndvi,ipc,population,month,district_encoded,increase
74,2018-01-01,Burco,0.2028,0.2211366753028379,0.3359409653359994,0.18500000000000003,0.05,534884.8949999999,1,21,True
75,2018-01-01,Xudur,0.4862,0.4689020964811947,0.4862,0.24833333333333332,0.14,113853.105,1,77,False
76,2018-01-01,Bossaso,0.3432,0.482210605259551,0.4160559934810628,0.14833333333333334,0.01,316531.98,1,18,True
77,2018-01-01,Cadale,0.351,0.2829201738380863,0.3691999999999999,0.22666666666666666,0.0,48461.80499999999,1,27,False
78,2018-01-01,Qoryooley,0.351,0.4363798525409664,0.3691999999999998,0.3466666666666667,0.09,196309.485,1,65,True
79,2018-01-01,Baardheere,0.3925999999999999,0.2972606382668021,0.4316,0.29333333333333333,0.0,170132.26499999998,1,3,False
80,2018-01-01,Laas Caanood,0.2911999999999999,0.2293654902134254,0.442,0.15166666666666667,0.26,170114.66999999998,1,55,False
81,2018-01-01,Cadaado,0.4212,0.4263710655123516,0.5199999999999999,0.18500000000000003,0.15,81479.34,1,26,True
82,2018-01-01,Cabudwaaq,0.4212,0.4299665440197571,0.5200000000000001,0.215,0.14,73330.78499999999,1,25,True
83,2018-01-01,Luuq,0.3926,0.4123022966960434,0.4315999999999998,0.18833333333333335,0.0,100476.765,1,59,True
84,2018-01-01,Bu'aale,0.3925999999999999,0.4125181113098476,0.4316,0.42333333333333334,0.0,93543.3,1,19,True
85,2018-01-01,Marka,0.351,0.3971406259324205,0.3692,0.3116666666666667,0.03,282222.765,1,60,True
86,2018-01-01,Qardho,0.3432,0.5372761677527557,0.4112666438059597,0.13,0.04,174970.88999999998,1,64,True
87,2018-01-01,Buuhoodle,0.2027999999999999,0.226129551832888,0.3406000000000001,0.22166666666666668,0.17,71317.70999999999,1,23,True
88,2018-01-01,Zeylac,0.1689999999999999,0.4330650433619875,0.3796,0.09500000000000001,0.57,64412.19,1,78,True
89,2018-01-01,Bulo Burto,0.3926,0.3908949717937982,0.429,0.2733333333333333,0.25,181435.5,1,20,False
90,2018-01-01,Owdweyne,0.2028,0.2303423878316652,0.3406,0.15,0.3,78004.845,1,61,True
91,2018-01-01,Burtinle,0.3795999999999999,0.4927859267135329,0.4524000000000001,0.18833333333333332,0.08,112734.27,1,22,True
92,2018-01-01,Galdogob,0.4004,0.4695085383288688,0.4732,0.19000000000000003,0.12,85807.70999999999,1,41,True
93,2018-01-01,Badhaadhe,0.3926,0.3711192650605567,0.4316000000000001,0.5016666666666667,0.09,50723.28,1,4,False
