,date,district,Cowpea,Ground Nuts,Maize,Onion,Pepper,Rice,Sesame,Sorghum,Tomato,Water Melon
0,1995-07-01,Adan Yabaal,,,,,,,,220.0,,
1,1995-07-01,Afgooye,,,16.381,,,,,409.0,,
2,1995-07-01,Afmadow,,,,,,,,,,
3,1995-07-01,Baardheere,,,138.0,,,,,5.18,,
4,1995-07-01,Badhaadhe,,,,,,,,,,
5,1995-07-01,Balcad,,,4.235,,,,,922.0,,
6,1995-07-01,Baraawe,,,402.0,,,,,,,
7,1995-07-01,Baidoa,,,,,,,,10.047,,
8,1995-07-01,Belet Weyne,,,518.0,,,,,2.762,,
9,1995-07-01,Belet Xaawo,,,2.0,,,,,343.0,,
10,1995-07-01,Borama,,,,,,,,,,
11,1995-07-01,Bu'aale,,,964.0,,,,,409.0,,
12,1995-07-01,Bulo Burto,,,690.0,,,,,1.987,,
13,1995-07-01,Burco,,,,,,,,,,
14,1995-07-01,Buur Hakaba,,,,,,,,7.149,,
15,1995-07-01,Cadale,,,,,,,,,,
16,1995-07-01,Ceel Buur,,,,,,,,,,
17,1995-07-01,Ceel Dheer,,,,,,,,,,
18,1995-07-01,Diinsoor,,,,,,,,4.4,,
19,1995-07-01,Doolow,,,45.0,,,,,1.27,,
20,1995-07-01,Ceel Barde,,,,,,,,,,
21,1995-07-01,Garbahaarey,,,38.0,,,,,6.0,,
22,1995-07-01,Gebiley,,,,,,,,,,
23,1995-07-01,Baki,,,,,,,,,,
24,1995-07-01,Hargeysa,,,,,,,,,,
25,1995-07-01,Hobyo,,,,,,,,,,
26,1995-07-01,Jalalaqsi,,,2.545,,,,,926.0,,
27,1995-07-01,Jamaame,,,6.188,,,,,,,
28,1995-07-01,Jilib,,,2.819,,,,,522.0,,
29,1995-07-01,Jowhar,,,11.621,,,,,2.742,,
30,1995-07-01,Kismaayo,,,233.0,,,,,7.0,,
31,1995-07-01,Kurtunwaarey,,,289.0,,,,,,,
32,1995-07-01,Luuq,,,128.0,,,,,20.0,,
33,1995-07-01,Marka,,,18.224,,,,,1.107,,
34,1995-07-01,Owdweyne,,,,,,,,,,
35,1995-07-01,Qansax Dheere,,,,,,,,8.403,,
36,1995-07-01,Qoryooley,,,18.728,,,,,4.0,,
37,1995-07-01,Rab Dhuure,,,,,,,,,,
38,1995-07-01,Saakow,,,1.308,,,,,3.708,,
39,1995-07-01,Sablaale,,,202.0,,,,,,,
40,1995-07-01,Sheikh,,,,,,,,,,
41,1995-07-01,Tayeeglow,,,511.0,,,,,2.724,,
42,1995-07-01,Waajid,,,,,,,,367.0,,
43,1995-07-01,Wanla Weyn,,,2.459,,,,,5.524,,
44,1995-07-01,Xarardheere,,,,,,,,,,
45,1995-07-01,Xudur,,,,,,,,1.459,,
46,1996-01-01,Adan Yabaal,,,,,,,,390.0,,
47,1996-01-01,Afgooye,,,6.369,,,,,7.5,,
